City,StopName,StopAddress,Note
Alexandria,Relax Inn,"4810 MN-29, Alexandria, MN 56308",
Alexandria,Best Western Alexandria Inn,"508 Twin Blvd, Alexandria, MN 56308",
Alexandria,West Central Metal Fab Inc,"103 Donna Ave, Alexandria, MN 56308",
Alexandria,Quality Inn & Suites Alexandria,"5304 MN-29, Alexandria, MN 56308",
Alexandria,Kadejan Market,"11535 MN-29, Alexandria, MN 56308",
Alexandria,GrandStay Hotel & Suites Glenwood,"114 Minnesota Ave E, Glenwood, MN 56334",
Alexandria,Minnewaska Meats & Catering,"11 1st Ave SW, Glenwood, MN 56334",
Alexandria,Pope County Courthouse,"130 Minnesota Ave E, Glenwood, MN 56334",
Alexandria,Kadejan Inc.,"500 12th St NE, Glenwood, MN 56334",
Alexandria,Lowry Manufacturing Co.,"317 Cherry St, Lowry, MN 56349",
Alexandria,"Country Blosson Farm, LLC","1951 Englund Rd SW Alexandria, MN 56308",
Alexandria,Prairie Ridge Health,"1411 Minnesota 79, Elbow Lake, 56531",
Alexandria,AgCountry Farm Credit Services,"610 Industrial Park Blvd, Elbow Lake, MN 56531",
Watertown,Best Western Watertown Inn and Suites,"3901 9th Ave SE, Watertown, SD 57201",
Watertown,Country Inn & Suites By Radisson,"3400 8th Avenue SE, Watertown, SD 57201",
Watertown,Hampton Inn & Suites Watertown,"2720 9th SE, Watertown, SD 57201",
Watertown,Holiday Inn Express & Suites Watertown,"2803 8th Ave SE, Watertown, SD 57201",
Watertown,Allstate Peterbilt of Watertown,"138 28th Street NE, Watertown, SD 57201",
Watertown,Watertown Wholesale,"300 E Kemp Avenue # B, Watertown, SD 57201",
Watertown,Dakotah Butcher,"1330 9th Avenue Southwest, Watertown, SD 57201",
Watertown,Saina LLC (AmericInn Hotel),"1901 9th Ave Southwest, Watertown, SD 57201",
Watertown,Critter Mart & More,"3 10th Street Northwest, Watertown, SD 57201",
Watertown,Pizza Ranch,"217 10th Street Northwest, Watertown, SD 57201",
Watertown,StoneyBrook Suites Assisted Living,"500 16th Ave Cir NE, Watertown, SD 57201",
Watertown,Prairie Lakes Wellness Center,"1515 15th Street Northeast, Watertown, 57201",
Watertown,"Miller Electric Inc,","601 4th St SW, Watertown, SD 57201",
